optimizer    lr beta_1 beta_2  Mean_acc
31      adam 3e-03   0.87  0.999 0.8350000
32      adam 1e-03   0.87  0.999 0.8321875
33      adam 5e-04   0.87  0.999 0.8334375
34      adam 3e-04   0.87  0.999 0.8315625
35      adam 1e-04   0.87  0.999 0.8203125
36      adam 3e-03   0.90  0.999 0.8381250
37      adam 1e-03   0.90  0.999 0.8371875
38      adam 5e-04   0.90  0.999 0.8365625
39      adam 3e-04   0.90  0.999 0.8343750
40      adam 1e-04   0.90  0.999 0.8196875
41      adam 3e-03   0.93  0.999 0.8315625
42      adam 1e-03   0.93  0.999 0.8368750
43      adam 5e-04   0.93  0.999 0.8403125
44      adam 3e-04   0.93  0.999 0.8334375
45      adam 1e-04   0.93  0.999 0.8203125
