   batch_size epochs  Mean_acc
1          10      5 0.8456250
2          10     10 0.8450000
3          10     20 0.8409375
4          10     30 0.8406250
5          10     50 0.8350000
6          10     75 0.8328125
7          10    100 0.8312500
8          10    150 0.8300000
9          10    200 0.8253125
10         10    300 0.8231250
