optimizer    lr beta_1 beta_2  Mean_acc
16     nadam 3e-03   0.87  0.995 0.8325000
17     nadam 1e-03   0.87  0.995 0.8346875
18     nadam 5e-04   0.87  0.995 0.8318750
19     nadam 3e-04   0.87  0.995 0.8309375
20     nadam 1e-04   0.87  0.995 0.8134375
21     nadam 3e-03   0.90  0.995 0.8337500
22     nadam 1e-03   0.90  0.995 0.8293750
23     nadam 5e-04   0.90  0.995 0.8418750
24     nadam 3e-04   0.90  0.995 0.8337500
25     nadam 1e-04   0.90  0.995 0.8171875
26     nadam 3e-03   0.93  0.995 0.8303125
27     nadam 1e-03   0.93  0.995 0.8415375
28     nadam 5e-04   0.93  0.995 0.8384375
29     nadam 3e-04   0.93  0.995 0.8278125
30     nadam 1e-04   0.93  0.995 0.8225000
