
  optimizer    lr momentum  Mean_acc
1       sgd 1e-02     0.92 0.5043750
2       sgd 5e-03     0.92 0.5821875
3       sgd 1e-03     0.92 0.6262500
4       sgd 5e-04     0.92 0.7812500
5       sgd 1e-02     0.90 0.5584375
6       sgd 5e-03     0.90 0.5937500
7       sgd 1e-03     0.90 0.8050000
8       sgd 5e-04     0.90 0.8181250


